paper,material,property_name,property_value,property_unit,definition
Paper_DB/Paper_1.pdf,Ru7B3,common formula of materials,Ru7B3,,common formula of materials
Paper_DB/Paper_1.pdf,Ru7B3,shape,3,,"*sample form (1: single phase(bulk),2: multi phase (bulk),3: single crystal(bulk) ,4:film,5:film(single))"
Paper_DB/Paper_1.pdf,Ru7B3,shape,1,,"*sample form (1: single phase(bulk),2: multi phase (bulk),3: single crystal(bulk) ,4:film,5:film(single))"
Paper_DB/Paper_1.pdf,Ru7B3,common name of structure,Th7Fe3,,"The conventional or informal name for a material's crystal structure, as commonly used within the condensed matter physics community, particularly as it relates to superconducting materials."
Paper_DB/Paper_1.pdf,Ru7B3,space group,P6<3>mc,,space group
Paper_DB/Paper_1.pdf,Ru7B3,international table number,186,,"The number assigned to a space group, found in the International Tables for Crystallography, which defines the symmetry of a crystal structure."
Paper_DB/Paper_1.pdf,Ru7B3,lattice constant a,7.441,A,The crystallographic parameter 'a' defining the length of the unit cell along the 'a' direction.
Paper_DB/Paper_1.pdf,Ru7B3,lattice constant c,4.7,A,"The length of the unit cell along the c-axis, critical to the crystal structure in condensed matter physics and superconductivity."
Paper_DB/Paper_1.pdf,Ru7B3,Tc from susceptibility measurement,2.8,K,"The critical temperature (Tc) of a superconductor as determined by the abrupt change in magnetic susceptibility, which signifies the onset of perfect diamagnetism and the superconducting state."
Paper_DB/Paper_1.pdf,Ru7B3,Tc from susceptibility measurement,3.3,K,"The critical temperature (Tc) of a superconductor as determined by the abrupt change in magnetic susceptibility, which signifies the onset of perfect diamagnetism and the superconducting state."
Paper_DB/Paper_1.pdf,Ru7B3,Tc (of this sample) recommended,2.8,K,The recommended superconducting critical temperature ($T_c$) specific to the sample.
Paper_DB/Paper_1.pdf,Ru7B3,Tc (of this sample) recommended,3.3,K,The recommended superconducting critical temperature ($T_c$) specific to the sample.
