,db,label,description,category,data_type,Physically_Relevant,definition
1,num,data number,data number,Material,Integer,FALSE,
2,refno,reference number,reference number,Material,String,FALSE,
3,commt,comment,Comment,Material,String,FALSE,
4,name,common formula of materials,common formula of materials,Material,String,TRUE,common formula of materials
6,element,chemical formula,chemical formula,Material,String,TRUE,chemical formula
7,ma1,element name of materials,element name of materials,Material,String,FALSE,
8,ma2,composition of MA1,composition of material 1,Material,Float,FALSE,
9,mb1,element name of materials,element name of materials,Material,String,FALSE,
10,mb2,composition of MA2,composition of material 2,Material,Float,FALSE,
11,mc1,element name of materials,element name of materials,Material,String,FALSE,
12,mc2,composition of MA3,composition of material 3,Material,Float,FALSE,
13,md1,element name of materials,element name of materials,Material,String,FALSE,
14,md2,composition of MA4,composition of material 4,Material,Float,FALSE,
15,me1,element name of materials,element name of materials,Material,String,FALSE,
16,me2,composition of MA5,composition of material 5,Material,Float,FALSE,
17,mf1,element name of materials,element name of materials,Material,String,FALSE,
18,mf2,composition of MA6,composition of material 6,Material,Float,FALSE,
19,mg1,element name of materials,element name of materials,Material,String,FALSE,
20,mg2,composition of MA7,composition of material 7,Material,Float,FALSE,
21,mh1,element name of materials,element name of materials,Material,String,FALSE,
22,mh2,composition of MA8,composition of material 8,Material,Float,FALSE,
23,mi1,element name of materials,element name of materials,Material,String,FALSE,
24,mi2,composition of MA9,composition of material 9,Material,Float,FALSE,
25,mj1,element name of materials,element name of materials,Material,String,FALSE,
26,mj2,composition of MA10,composition of material 10,Material,Float,FALSE,
27,mo1,oxygen,oxygen,Material,String,FALSE,
28,mo2,common formula of oxygen,common formula of oxygen,Material,String,FALSE,
29,oz,measured value of Oxygen content,measured value of Oxygen content,Material,Float,FALSE,
30,shape,shape,"*sample form (1: single phase(bulk),2: multi phase (bulk),3: single crystal(bulk) ,4:film,5:film(single))",Material,Integer,TRUE,"*sample form (1: single phase(bulk),2: multi phase (bulk),3: single crystal(bulk) ,4:film,5:film(single))"
31,year,publication year of reference,year of reference,Material,Integer,FALSE,
33,ukai,unit of KAIZERO,unit of KAIZERO,Magnetic property,String,FALSE,
34,kaizero,temperature independent term in susceptibility,temperature independent term in susceptibility,Magnetic property,Double,TRUE,"The static magnetic susceptibility, $\chi(0)$, representing the term in susceptibility that is independent of temperature, often associated with Temperature Independent Paramagnetism (TIP)."
35,ucc,unit of CURIEC,unit of CURIEC,Magnetic property,String,FALSE,
36,curiec,Curie constant,Curie constant,Magnetic property,Double,TRUE,Curie constant
37,umoment,unit of MOMENT,unit of MOMENT,Magnetic property,String,FALSE,
38,moment,magnetic moment per formula,magnetic moment per formula,Magnetic property,Float,TRUE,magnetic moment per formula
39,curiet,Curie temperature,Curie temperature,Magnetic property,Float,TRUE,Curie temperature
40,neelt,Neel temperature,Neel temperature,Magnetic property,Float,TRUE,Neel temperature
41,dens,density (gcm-3),Density,Mechanical property,Float,TRUE,Density
42,uhv,unit of hardness,unit of hardness,Mechanical property,String,FALSE,
45,hv300,hardness at 300 K,hardness at 300K,Mechanical property,Float,TRUE,"A material’s resistance to localized plastic deformation, determined at room temperature (300 kelvin) to assess its mechanical strength in the normal state."
46,uye,unit of Young's modulus,unit of Young's modulus,Mechanical property,String,FALSE,
47,yehe,Young's modulus at 4.2 K,Young's modulus at 4.2K,Mechanical property,Double,TRUE,"A measure of a superconducting material’s stiffness or resistance to lengthwise deformation, determined at 4.2 Kelvin to evaluate its elastic behavior in the superconducting state."
49,ye300,Young's modulus at 300 K,Young's modulus at 300K,Mechanical property,Double,TRUE,"A material’s stiffness or resistance to stretching or compression, determined at room temperature (300 K) to characterize its elastic properties in the normal (non-superconducting) state."
50,ug,unit of shear modulus,unit of shear modulus,Mechanical property,String,FALSE,
51,ghe,shear modulus at 4.2 K,shear modulus at 4.2K,Mechanical property,Float,TRUE,"A measure of a material's rigidity against shear (shape-changing) forces, determined at 4.2 Kelvin to assess its elastic stiffness in the superconducting state."
