id,material_or_system,sample_label,property_name,category,value_string,value_number,units,method,notes,location.page,location.section,location.source_type,location.evidence,conditions.field_orientation,location.figure_or_table,conditions.current_direction,conditions.field,conditions.temperature,conditions.field_range,conditions.temperature_range,paper_pdf_path,validated,validator_name,validation_date,flagged
prop_001,Ru7B3,single crystal,structure prototype,structural,Th7Fe3-type structure,,,powder X-ray diffraction,Hexagonal; noncentrosymmetric.,,,text,,,,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_002,Ru7B3,single crystal,space group,structural,P63mc,,,powder X-ray diffraction,Noncentrosymmetric; lacks inversion symmetry along c-axis.,,,text,,,,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_003,Ru7B3,,upper critical field Hc2(0),superconducting,,17.2,kOe,magnetization in magnetic fields,,,,text,,[001],,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_004,Ru7B3,,upper critical field Hc2(0),superconducting,,15.8,kOe,magnetization in magnetic fields,,,,text,,[100],,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_005,Ru7B3,,coherence length ξ_GL(0),superconducting,,144.0,Å,,,,,text,,[100],,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_006,Ru7B3,,penetration depth λ_GL(0),superconducting,,3110.0,Å,,,,,text,,[100],,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_007,Ru7B3,,Ginzburg–Landau parameter κ_GL(0),superconducting,,21.6,,,,,,text,,[100],,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_008,Ru7B3,,coherence length ξ_GL(0),superconducting,,138.0,Å,,,,,text,,[001],,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_009,Ru7B3,,penetration depth λ_GL(0),superconducting,,3520.0,Å,,,,,text,,[001],,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_010,Ru7B3,,Ginzburg–Landau parameter κ_GL(0),superconducting,,25.5,,,,,,text,,[001],,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_011,Ru7B3,,superconducting gap isotropy,classification,isotropic superconducting gap,,,specific heat measurements,,,,text,,,,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_012,Ru7B3,,superconductivity type,classification,type-II superconductor,,,magnetic field measurements,,,,text,,,,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_013,CePt3Si,,superconductivity classification,classification,heavy-fermion superconductor,,,,,,,text,,,,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
