paper,material,property_name,property_value,property_unit,definition
Paper_1,Ru7B3,common formula of materials,43.7,mJ/(K² mol),"Superconducting State of the Binary Boride Ru7B3 with the Noncentrosymmetric Crystal Structure Naoki KASE and Jun AKIMITSU Department of Physics and Mathematics, Aoyama Gakuin University, 5-10-1 Fuchinobe, Sagamihara, Kanagawa 229-8558 In order to analyze the speciﬁc heat data, we use the expression CðTÞ ¼ nT þ T3, where the ﬁrst term is the electronic contribution (¼ Ce), n is the electronic speciﬁc heat coeﬃcient (Sommerfeld constant), and T3 (¼ Cp) is contributed by the lattice vibration. A standard analysis at 20 kOe yields a Sommerfeld constant n ¼ 43:7 mJ/(K2 mol), and a Debye temperature D ¼ 640 K calculated from ¼ Nð12=5Þ 4R3 D , where R ¼ 8:314 J/(K mol), N ¼ 20, and ¼ 0:147 mJ/(K4 mol)."
Paper_1,Ru7B3,common formula of materials,17.2,kOe,"Superconducting State of the Binary Boride Ru7B3 with the Noncentrosymmetric Crystal Structure Naoki KASE and Jun AKIMITSU Department of Physics and Mathematics, Aoyama Gakuin University, 5-10-1 Fuchinobe, Sagamihara, Kanagawa 229-8558 Hc2ð0ÞGL was calculated to be approximately 17.2 kOe for H k ½001 and 15.8 kOe for H k ½100, respectively. Besides, the WHH theory predicted that the Hc2ð0Þ estimates will be approx- imately 15.2 kOe for H k ½001 and 13.7 kOe for H k ½100, respectively, following Hc2ð0Þ ’ 0:693ðdT=dTÞTcTc."
Paper_1,Ru7B3,common formula of materials,53,Oe,"Superconducting State of the Binary Boride Ru7B3 with the Noncentrosymmetric Crystal Structure Naoki KASE and Jun AKIMITSU Department of Physics and Mathematics, Aoyama Gakuin University, 5-10-1 Fuchinobe, Sagamihara, Kanagawa 229-8558 4 N. KASE and J. AKIMITSU 044710-4 J. Phys. Downloaded from journals.jps.jp by Rutgers Univ-New Brunswick on 10/29/25 tional formula Hc1ðTÞ ¼ Hc1ð0Þ½1  ðT=TcÞ2, Hc1ð0Þ is estimated to be approximately 53 Oe for H k ½001 and 68 Oe for H k ½100."
Paper_11,LaRu4P12,common formula of materials,7.2,K,"Superconductor Science and Technology Isotropic superconductivity in LaRu2P2 with the This type of material has attracted much attention and showed a variety of interesting phenomena according to the composition of lanthanides and transition metals [11, 12]. Relatively high Tc for the other ruthenium phosphide superconductors were found in ZrRuP (Tc = 13 K) [13] and LaRu4P12 (Tc = 7.2 K) [14]."
Paper_11,LaRu2P2,common formula of materials,1140,Oe,"Superconductor Science and Technology Isotropic superconductivity in LaRu2P2 with the The value of Hc2(0) was estimated as about 1140 Oe, which is much smaller than that in iron-based superconductors. The coherence length ξ can be estimated using Hc2(0) = φ0/(2πξ 2), where φ0 is the ﬂux quantum φ0 = 2.07 × 10−7 G cm−2."
Paper_11,LaRu2P2,common formula of materials,54,nm,"Superconductor Science and Technology Isotropic superconductivity in LaRu2P2 with the The value of coherence length is about 54 nm at zero temperature. We evaluated the penetration depth λ(0) using the expression [18] Hc1 = (φ0/4πλ2)(ln κ+0.5), where κ = λ/ξ is the Ginzburg– Landau parameter."
Paper_11,LaRu2P2,common formula of materials,3 × 10^22,cm−3,Superconductor Science and Technology Isotropic superconductivity in LaRu2P2 with the 23 (2010) 115009 J J Ying et al the carrier number’s decrease with the temperature decrease. The carrier density n was estimated to be of the magnitude of 3 × 1022 cm−3 from a relation where RH = −1/(en).
Paper_2,β-IrSn4,common formula of materials,8.95 × 10−10,m3 C−1,Journal of Physics: Condensed Matter PAPER Observation of superconductivity in the Field dependence of the Hall resistivity of β-IrSn4 at 2 K. Solid line represents a linear ﬁt of the Hall resistivity in the low-ﬁeld regime. be estimated by R0 = ρH/(µ0H) = 8.95 × 10−10 m3 C−1.
Paper_2,β-IrSn4,common formula of materials,ξ0 = 261,nm,"Journal of Physics: Condensed Matter PAPER Observation of superconductivity in the On the other hand, using the BCS relation for the coherence length ξ0 = 0.18¯hυF/kBTc, we obtained ξ0 = 261 nm, where υF = ¯hkF/m∗= 1.71×105 m s−1 is the Fermi velocity. The obtained ratio κ(0) = λL(0)/ξ0 ≈0.62<1/ √ 2 suggests ascribing the superconductivity in β-IrSn4 to either a type-I or to a type-II/1 in the classiﬁcation of Auer and Ullmaier [22]."
Paper_3,Mo2C,common formula of materials,5.98,Å,"ARTICLES PUBLISHED ONLINE: 17 AUGUST 2015 | DOI: 10.1038/NMAT4374 Large-area high-quality 2D ultrathin Mo2C superconducting crystals Chuan Xu1†, Libin Wang2†, Zhibo Liu1, Long Chen1, Jingkun Guo2, Ning Kang2*, Xiu-Liang Ma1, The derived lattice parameters of the crystal from SAED patterns are b = 5.98 Å and c = 5.21 Å. 2f) to be 4.77 Å according to r2 + (λ−1 −a−1)2 = λ−2, where λ=0.00251 nm is the electron wavelength in a 200 kV TEM, and r = 40.83 nm−1 is the radius of the first-order Laue ring."
