paper,material,property_name,property_value,property_unit,definition
Paper_1,Ru7B3,common formula of materials,7 3,None,"Superconducting State of the Binary Boride Ru7B3 with the Noncentrosymmetric Crystal Structure Naoki KASE and Jun AKIMITSU Department of Physics and Mathematics, Aoyama Gakuin University, 5-10-1 Fuchinobe, Sagamihara, Kanagawa 229-8558  Superconducting State of the Binary Boride Ru7B3 with the Noncentrosymmetric Crystal Structure Naoki KASE and Jun AKIMITSU Department of Physics and Mathematics, Aoyama Gakuin University, 5-10-1 Fuchinobe, Sagamihara, Kanagawa 229-8558 (Received November 12, 2008; accepted January 14, 2009; published April 10, 2009) Single crystals of Ru7B3 were grown by the Czochralski puling method in a tetra-arc furnace."
Paper_1,Ru7B3,common formula of materials,None,None,"Superconducting State of the Binary Boride Ru7B3 with the Noncentrosymmetric Crystal Structure Naoki KASE and Jun AKIMITSU Department of Physics and Mathematics, Aoyama Gakuin University, 5-10-1 Fuchinobe, Sagamihara, Kanagawa 229-8558 Noncentrosymmetric heavy-fermion superconductors1–4) show an unconventional behavior around the magnetic quantum critical point and exhibits coexisting superconduc- tivity and magnetic ordering. On the other hand, transition-metal compounds such as Li2T3B (T = Pd and Pt),5,6) Mg10Ir19B16,7) and T2Ga9 (T = Rh and Ir)8,9) are better candidates for examining the basic eﬀects originating from a breaking inversion symmetry."
Paper_1,Li2T3B,common formula of materials,None,None,"Superconducting State of the Binary Boride Ru7B3 with the Noncentrosymmetric Crystal Structure Naoki KASE and Jun AKIMITSU Department of Physics and Mathematics, Aoyama Gakuin University, 5-10-1 Fuchinobe, Sagamihara, Kanagawa 229-8558 Noncentrosymmetric heavy-fermion superconductors1–4) show an unconventional behavior around the magnetic quantum critical point and exhibits coexisting superconduc- tivity and magnetic ordering. On the other hand, transition-metal compounds such as Li2T3B (T = Pd and Pt),5,6) Mg10Ir19B16,7) and T2Ga9 (T = Rh and Ir)8,9) are better candidates for examining the basic eﬀects originating from a breaking inversion symmetry."
Paper_1,Mg10Ir19B16,common formula of materials,None,None,"Superconducting State of the Binary Boride Ru7B3 with the Noncentrosymmetric Crystal Structure Naoki KASE and Jun AKIMITSU Department of Physics and Mathematics, Aoyama Gakuin University, 5-10-1 Fuchinobe, Sagamihara, Kanagawa 229-8558 Noncentrosymmetric heavy-fermion superconductors1–4) show an unconventional behavior around the magnetic quantum critical point and exhibits coexisting superconduc- tivity and magnetic ordering. On the other hand, transition-metal compounds such as Li2T3B (T = Pd and Pt),5,6) Mg10Ir19B16,7) and T2Ga9 (T = Rh and Ir)8,9) are better candidates for examining the basic eﬀects originating from a breaking inversion symmetry."
Paper_1,T2Ga9,common formula of materials,None,None,"Superconducting State of the Binary Boride Ru7B3 with the Noncentrosymmetric Crystal Structure Naoki KASE and Jun AKIMITSU Department of Physics and Mathematics, Aoyama Gakuin University, 5-10-1 Fuchinobe, Sagamihara, Kanagawa 229-8558 Noncentrosymmetric heavy-fermion superconductors1–4) show an unconventional behavior around the magnetic quantum critical point and exhibits coexisting superconduc- tivity and magnetic ordering. On the other hand, transition-metal compounds such as Li2T3B (T = Pd and Pt),5,6) Mg10Ir19B16,7) and T2Ga9 (T = Rh and Ir)8,9) are better candidates for examining the basic eﬀects originating from a breaking inversion symmetry."
Paper_1,Ru7B3,common formula of materials,7 3,None,"Superconducting State of the Binary Boride Ru7B3 with the Noncentrosymmetric Crystal Structure Naoki KASE and Jun AKIMITSU Department of Physics and Mathematics, Aoyama Gakuin University, 5-10-1 Fuchinobe, Sagamihara, Kanagawa 229-8558 Ru7B3 was reported as a superconductor with Tc ¼ 2:58{3:38 K using a polycrystalline sample,10,11) de- spite the lack of report on its superconducting state. To investigate the superconducting state more precisely, we have succeeded in growing single crystals of Ru7B3 using the Czochralski pulling method."
Paper_1,Ru7B3,common formula of materials,2.8,K,"Superconducting State of the Binary Boride Ru7B3 with the Noncentrosymmetric Crystal Structure Naoki KASE and Jun AKIMITSU Department of Physics and Mathematics, Aoyama Gakuin University, 5-10-1 Fuchinobe, Sagamihara, Kanagawa 229-8558 The low-ﬁeld susceptibility displays a strong diamagnetic signal due to a superconducting transition temperature with Tonset c ¼ 2:8 K. We conﬁrmed that the polycrystalline sample shows Tonset c ¼ 3:3 K, being slightly higher than that of the single-crystal sample. What causes the diﬀerence in Tc might depend on the lack of Boron from the stoichiometry such as Ln2C3 (Ln = Y, La)14–17) or NbB2.18–22) The fractional contraction of the lattice constants for the single crystals also supports the scenario."
Paper_1,Ru7B3 (polycrystalline),common formula of materials,3.3,K,"Superconducting State of the Binary Boride Ru7B3 with the Noncentrosymmetric Crystal Structure Naoki KASE and Jun AKIMITSU Department of Physics and Mathematics, Aoyama Gakuin University, 5-10-1 Fuchinobe, Sagamihara, Kanagawa 229-8558 The low-ﬁeld susceptibility displays a strong diamagnetic signal due to a superconducting transition temperature with Tonset c ¼ 2:8 K. We conﬁrmed that the polycrystalline sample shows Tonset c ¼ 3:3 K, being slightly higher than that of the single-crystal sample. What causes the diﬀerence in Tc might depend on the lack of Boron from the stoichiometry such as Ln2C3 (Ln = Y, La)14–17) or NbB2.18–22) The fractional contraction of the lattice constants for the single crystals also supports the scenario."
Paper_1,Ru7B3 (J ‖ [100]),common formula of materials,97,mΩ·cm,"Superconducting State of the Binary Boride Ru7B3 with the Noncentrosymmetric Crystal Structure Naoki KASE and Jun AKIMITSU Department of Physics and Mathematics, Aoyama Gakuin University, 5-10-1 Fuchinobe, Sagamihara, Kanagawa 229-8558 The room-temperature resistivity (300 K) is approximately 97 m cm and the residual resistivity just above Tc, (res), is 26 m cm for J k ½100, and (300 K) = 55 m cm, and (res) = 14 m cm for J k ½001. The residual resistivity ratio (RRR), therefore, is (300 K)/(res) = 3.7 for J k ½100 and 3.9 for J k ½001."
Paper_1,Ru7B3 (J ‖ [100]),common formula of materials,26,mΩ·cm,"Superconducting State of the Binary Boride Ru7B3 with the Noncentrosymmetric Crystal Structure Naoki KASE and Jun AKIMITSU Department of Physics and Mathematics, Aoyama Gakuin University, 5-10-1 Fuchinobe, Sagamihara, Kanagawa 229-8558 The room-temperature resistivity (300 K) is approximately 97 m cm and the residual resistivity just above Tc, (res), is 26 m cm for J k ½100, and (300 K) = 55 m cm, and (res) = 14 m cm for J k ½001. The residual resistivity ratio (RRR), therefore, is (300 K)/(res) = 3.7 for J k ½100 and 3.9 for J k ½001."
