sentence,passage,doi
"Superconducting State of the Binary Boride Ru7B3 with the Noncentrosymmetric Crystal Structure Naoki KASE and Jun AKIMITSU Department of Physics and Mathematics, Aoyama Gakuin University, 5-10-1 Fuchinobe, Sagamihara, Kanagawa 229-8558 (Received November 12, 2008; accepted January 14, 2009; published April 10, 2009) Single crystals of Ru7B3 were grown by the Czochralski puling method in a tetra-arc furnace.","Superconducting State of the Binary Boride Ru7B3 with the Noncentrosymmetric Crystal Structure Naoki KASE and Jun AKIMITSU Department of Physics and Mathematics, Aoyama Gakuin University, 5-10-1 Fuchinobe, Sagamihara, Kanagawa 229-8558  Superconducting State of the Binary Boride Ru7B3 with the Noncentrosymmetric Crystal Structure Naoki KASE and Jun AKIMITSU Department of Physics and Mathematics, Aoyama Gakuin University, 5-10-1 Fuchinobe, Sagamihara, Kanagawa 229-8558 (Received November 12, 2008; accepted January 14, 2009; published April 10, 2009) Single crystals of Ru7B3 were grown by the Czochralski puling method in a tetra-arc furnace.",Paper_1
"The compound crystallizes in a Th7Fe3-type structure (hexagonal, space group: P63mc), which has no inversion symmetry along the c-axis.","Superconducting State of the Binary Boride Ru7B3 with the Noncentrosymmetric Crystal Structure Naoki KASE and Jun AKIMITSU Department of Physics and Mathematics, Aoyama Gakuin University, 5-10-1 Fuchinobe, Sagamihara, Kanagawa 229-8558 Superconducting State of the Binary Boride Ru7B3 with the Noncentrosymmetric Crystal Structure Naoki KASE and Jun AKIMITSU Department of Physics and Mathematics, Aoyama Gakuin University, 5-10-1 Fuchinobe, Sagamihara, Kanagawa 229-8558 (Received November 12, 2008; accepted January 14, 2009; published April 10, 2009) Single crystals of Ru7B3 were grown by the Czochralski puling method in a tetra-arc furnace. The compound crystallizes in a Th7Fe3-type structure (hexagonal, space group: P63mc), which has no inversion symmetry along the c-axis.",Paper_1
"Measurements in magnetic ﬁelds indicate type-II superconductivity with upper critical ﬁelds of Hc2ð0Þ ’ 17:2 kOe for H k ½001 and 15.8 kOe for H k ½100, respectively.","Superconducting State of the Binary Boride Ru7B3 with the Noncentrosymmetric Crystal Structure Naoki KASE and Jun AKIMITSU Department of Physics and Mathematics, Aoyama Gakuin University, 5-10-1 Fuchinobe, Sagamihara, Kanagawa 229-8558 The compound crystallizes in a Th7Fe3-type structure (hexagonal, space group: P63mc), which has no inversion symmetry along the c-axis. Measurements in magnetic ﬁelds indicate type-II superconductivity with upper critical ﬁelds of Hc2ð0Þ ’ 17:2 kOe for H k ½001 and 15.8 kOe for H k ½100, respectively.",Paper_1
"The coherence length ð0ÞGL, penetration depth ð0ÞGL, and Ginzburg–Landau (GL) parameter ð0Þ obtained from these values are 144 A˚ , 3110 A˚ , and 21.6 for H k ½100, and 138 A˚ , 3520 A˚ , and 25.5 for H k ½001, respectively.","Superconducting State of the Binary Boride Ru7B3 with the Noncentrosymmetric Crystal Structure Naoki KASE and Jun AKIMITSU Department of Physics and Mathematics, Aoyama Gakuin University, 5-10-1 Fuchinobe, Sagamihara, Kanagawa 229-8558 Measurements in magnetic ﬁelds indicate type-II superconductivity with upper critical ﬁelds of Hc2ð0Þ ’ 17:2 kOe for H k ½001 and 15.8 kOe for H k ½100, respectively. The coherence length ð0ÞGL, penetration depth ð0ÞGL, and Ginzburg–Landau (GL) parameter ð0Þ obtained from these values are 144 A˚ , 3110 A˚ , and 21.6 for H k ½100, and 138 A˚ , 3520 A˚ , and 25.5 for H k ½001, respectively.",Paper_1
Speciﬁc heat measurements reveal that Ru7B3 is a weak-coupling super- conductor with an isotropic superconducting gap.,"Superconducting State of the Binary Boride Ru7B3 with the Noncentrosymmetric Crystal Structure Naoki KASE and Jun AKIMITSU Department of Physics and Mathematics, Aoyama Gakuin University, 5-10-1 Fuchinobe, Sagamihara, Kanagawa 229-8558 The coherence length ð0ÞGL, penetration depth ð0ÞGL, and Ginzburg–Landau (GL) parameter ð0Þ obtained from these values are 144 A˚ , 3110 A˚ , and 21.6 for H k ½100, and 138 A˚ , 3520 A˚ , and 25.5 for H k ½001, respectively. Speciﬁc heat measurements reveal that Ru7B3 is a weak-coupling super- conductor with an isotropic superconducting gap.",Paper_1
"KEYWORDS: Ru7B3, superconductivity, no inversion symmetry, speciﬁc heat DOI: 10.1143/JPSJ.78.044710 1.","Superconducting State of the Binary Boride Ru7B3 with the Noncentrosymmetric Crystal Structure Naoki KASE and Jun AKIMITSU Department of Physics and Mathematics, Aoyama Gakuin University, 5-10-1 Fuchinobe, Sagamihara, Kanagawa 229-8558 Speciﬁc heat measurements reveal that Ru7B3 is a weak-coupling super- conductor with an isotropic superconducting gap. KEYWORDS: Ru7B3, superconductivity, no inversion symmetry, speciﬁc heat DOI: 10.1143/JPSJ.78.044710 1.",Paper_1
"Introduction Since the discovery of a new heavy-fermion supercon- ductor, CePt3Si,1) a noncentrosymmetric superconductor has been investigated to elucidate the novel superconducting pairing state in materials without inversion symmetry.","Superconducting State of the Binary Boride Ru7B3 with the Noncentrosymmetric Crystal Structure Naoki KASE and Jun AKIMITSU Department of Physics and Mathematics, Aoyama Gakuin University, 5-10-1 Fuchinobe, Sagamihara, Kanagawa 229-8558 KEYWORDS: Ru7B3, superconductivity, no inversion symmetry, speciﬁc heat DOI: 10.1143/JPSJ.78.044710 1. Introduction Since the discovery of a new heavy-fermion supercon- ductor, CePt3Si,1) a noncentrosymmetric superconductor has been investigated to elucidate the novel superconducting pairing state in materials without inversion symmetry.",Paper_1
Noncentrosymmetric heavy-fermion superconductors1–4) show an unconventional behavior around the magnetic quantum critical point and exhibits coexisting superconduc- tivity and magnetic ordering.,"Superconducting State of the Binary Boride Ru7B3 with the Noncentrosymmetric Crystal Structure Naoki KASE and Jun AKIMITSU Department of Physics and Mathematics, Aoyama Gakuin University, 5-10-1 Fuchinobe, Sagamihara, Kanagawa 229-8558 Introduction Since the discovery of a new heavy-fermion supercon- ductor, CePt3Si,1) a noncentrosymmetric superconductor has been investigated to elucidate the novel superconducting pairing state in materials without inversion symmetry. Noncentrosymmetric heavy-fermion superconductors1–4) show an unconventional behavior around the magnetic quantum critical point and exhibits coexisting superconduc- tivity and magnetic ordering.",Paper_1
"On the other hand, transition-metal compounds such as Li2T3B (T = Pd and Pt),5,6) Mg10Ir19B16,7) and T2Ga9 (T = Rh and Ir)8,9) are better candidates for examining the basic eﬀects originating from a breaking inversion symmetry.","Superconducting State of the Binary Boride Ru7B3 with the Noncentrosymmetric Crystal Structure Naoki KASE and Jun AKIMITSU Department of Physics and Mathematics, Aoyama Gakuin University, 5-10-1 Fuchinobe, Sagamihara, Kanagawa 229-8558 Noncentrosymmetric heavy-fermion superconductors1–4) show an unconventional behavior around the magnetic quantum critical point and exhibits coexisting superconduc- tivity and magnetic ordering. On the other hand, transition-metal compounds such as Li2T3B (T = Pd and Pt),5,6) Mg10Ir19B16,7) and T2Ga9 (T = Rh and Ir)8,9) are better candidates for examining the basic eﬀects originating from a breaking inversion symmetry.",Paper_1
T7B3 (T: transition metal) can be one of the potential systems for investigating the eﬀect of non-centrosymmetry in a structure with 4d and 5d elements.,"Superconducting State of the Binary Boride Ru7B3 with the Noncentrosymmetric Crystal Structure Naoki KASE and Jun AKIMITSU Department of Physics and Mathematics, Aoyama Gakuin University, 5-10-1 Fuchinobe, Sagamihara, Kanagawa 229-8558 On the other hand, transition-metal compounds such as Li2T3B (T = Pd and Pt),5,6) Mg10Ir19B16,7) and T2Ga9 (T = Rh and Ir)8,9) are better candidates for examining the basic eﬀects originating from a breaking inversion symmetry. T7B3 (T: transition metal) can be one of the potential systems for investigating the eﬀect of non-centrosymmetry in a structure with 4d and 5d elements.",Paper_1
