property,unit,property_label,unit_label,conditions.temperature,conditions.field,conditions.pressure,methods,location.figure_or_table
kaizero,ukai,temperature independent term in susceptibility,unit of KAIZERO,,,,,
curiec,ucc,Curie constant,unit of CURIEC,,,,,
moment,umoment,magnetic moment per formula,unit of MOMENT,,,,,
hv300,uhv,hardness at 300 K,unit of hardness,,,,,
yehe,uye,Young's modulus at 4.2 K,unit of Young's modulus,,,,,
ye300,uye,Young's modulus at 300 K,unit of Young's modulus,,,,,
ghe,ug,shear modulus at 4.2 K,unit of shear modulus,,,,,
g300,ug,shear modulus at 300 K,unit of shear modulus,,,,,
svhe,usv,sound velocity at 4.2 K,unit of sound velocity,,,,,
sv300,usv,sound velocity at 300 K,unit of sound velocity,,,,,
lata,ulat,lattice constant a,unit of lattice constant,,,,,
latb,ulat,lattice constant b,unit of lattice constant,,,,,
latc,ulat,lattice constant c,unit of lattice constant,,,,,
dadt,udldt,temperature dependence of LATA,unit of D(L)DT,,,,,
dbdt,udldt,temperature dependence of LATB,unit of D(L)DT,,,,,
dcdt,udldt,temperature dependence of LATC,unit of D(L)DT,,,,,
dadp,udldp,pressure dependence of LATA,unit of D(L)DP,,,,,
dbdp,udldp,pressure dependence of LATB,unit of D(L)DP,,,,,
dcdp,udldp,pressure dependence of LATC,unit of D(L)DP,,,,,
t1,utc,transition temperature (R = 0),unit of Tc,,,,,
t2,utc,transition temperature (mid point),unit of Tc,,,,,
t3,utc,transition temperature (R = 100%),unit of Tc,,,,,
tcsus,utc,Tc from susceptibility measurement,unit of Tc,,,,,
tcn,utc,lowest temperature for measurement (not superconducting),unit of Tc,,,,,
tcwidth,utc,transition width for resistive transition,unit of Tc,,,,,
tc,utc,Tc (of this sample) recommended,unit of Tc,,,,tcmeth,
dtcdp,udtcdp,slope at P = 0 in Tc vs P plot,unit of DTCDP,,,pmax,,
hc1zero,uhc1,Hc1 at 0 K for poly crystal,unit of Hc1,,,,mhc1,
phc1zero,uhc1,Hc1 at 0 K for single crystal for H //ab-plane,unit of Hc1,,,,mhc1,
nhc1zero,uhc1,Hc1 at 0 K for single crystal for H //c-axis,unit of Hc1,,,,mhc1,
hc1t,uhc1,Hc1 at given temperature for poly crystal,unit of Hc1,tempc1,,,mhc1,
