db_label,count,property_name,unique property_unit,data_type,category,rubric,prompt,claude,SI,description
name,31879,common formula of materials,#N/A,String,Chemical,pymatgen,#N/A,,,common formula of materials
t2,17115,transition temperature (mid point),K,Float,Electronic,0.1% SI,What is the SI unit for transition temperature (mid point)? Equivalent units are: K,Loading...,K,transition temperature (mid point)
tc,26321,Tc (of this sample) recommended,"K, k",Float,Electronic,0.1% SI,"What is the SI unit for Tc (of this sample) recommended? Equivalent units are: K, k",Loading...,K,Tc (of this sample) recommended
str3,24685,common name of structure,#N/A,String,Structural,exact_match,#N/A,,,*common name of structure
tcn,4637,lowest temperature for measurement (not superconducting),K,Float,Environmental,0.1% SI,What is the SI unit for lowest temperature for measurement (not superconducting)? Equivalent units are: K,"The SI (International System of Units) unit for measuring temperature is the kelvin (K).

For measuring the lowest temperatures (not including extreme conditions like in superconductivity research), the kelvin remains the standard unit. The kelvin scale starts at absolute zero (0 K), which is approximately -273.15°C or -459.67°F. This is theoretically the lowest possible temperature in the universe, where molecular motion effectively stops.

So, the SI unit you're asking about is the kelvin (K).",K,lowest temperature for measurement (not superconducting)
lata,13102,lattice constant a,"A, nm",Float,Structural,0.1% SI,"What is the SI unit for lattice constant a? Equivalent units are: A, nm",Loading...,m,lattice constant a
gamma,2492,coefficient of electronic specific heat,"mj/mol.K2, erg/cc.K2, mJ/mol.K2, mJ/gat.K2, J/K2.Mol-C, mJ/gmol.K2, J/mol.K2, mj/f.u.K2, mJ/mol.K2., mj/K2.m-Re, mj/mol. K2, mJ/K2fu, uJ/K2.g, mJ/Ymol.K2, mJ/Mol.K2, erg/cm3.K2, mJ/K2mol, mJ/molK2, mJ/Pr mol, mJ/K2mole, J/K2gat, my/md,K2, mJ/Kmol, mJ/Ni.K2, mJ/m-Co.K2, mJmol-1K-2, mJ/g.K2, mJ/f.u.K2, mj/mole.K2, uJ/g.K2, mj/cm3.K2, MJ/MOLE.K2",Float,Electronic,0.1% SI,"What is the SI unit for coefficient of electronic specific heat? Equivalent units are: mj/mol.K2, erg/cc.K2, mJ/mol.K2, mJ/gat.K2, J/K2.Mol-C, mJ/gmol.K2, J/mol.K2, mj/f.u.K2, mJ/mol.K2., mj/K2.m-Re, mj/mol. K2, mJ/K2fu, uJ/K2.g, mJ/Ymol.K2, mJ/Mol.K2, erg/cm3.K2, mJ/K2mol, mJ/molK2, mJ/Pr mol, mJ/K2mole, J/K2gat, my/md,K2, mJ/Kmol, mJ/Ni.K2, mJ/m-Co.K2, mJmol-1K-2, mJ/g.K2, mJ/f.u.K2, mj/mole.K2, uJ/g.K2, mj/cm3.K2, MJ/MOLE.K2","The SI unit for the coefficient of electronic specific heat is J/(mol·K²), which is joules per mole per kelvin squared.

From your list of equivalent units, ""J/mol·K²"" is the standard SI unit. Many of the others are variations or non-standard representations of the same concept:

- ""mJ/mol·K²"" uses millijoules (1 mJ = 10⁻³ J)
- ""J/K²·Mol-C"" is equivalent but with different formatting
- ""mJmol⁻¹K⁻²"" is the same unit with different notation
- ""erg/cm³·K²"" is a CGS unit (not SI)

The standard SI unit remains J/(mol·K²).",J/mol.K^2,coefficient of electronic specific heat
debyet,1843,Debye temperature,K,Float,Electronic,0.1% SI,What is the SI unit for Debye temperature? Equivalent units are: K,"The SI unit for Debye temperature is kelvin (K).

The Debye temperature is a characteristic parameter in solid-state physics that represents the temperature at which essentially all vibrational modes in a crystal are excited. It's typically denoted as θD and is always expressed in kelvins in the scientific literature.

There are no equivalent units for Debye temperature besides kelvin, as it is fundamentally a temperature measurement.",K,Debye temperature
hc1zero,442,Hc1 at 0 K for poly crystal,"Oe, mT, T, A, gauss, micro-T",Float,Electronic,0.1% SI,"What is the SI unit for Hc1 at 0 K for poly crystal? Equivalent units are: Oe, mT, T, A, gauss, micro-T",Loading...,T,Hc1 at 0 K for poly crystal
carrier,326,carrier density at 300 K,"E+19 /cm3, n/cm3, E+21/cc, E+22 /cm3, E+20 /cm3, E+19/cc, E+22/cm3, n/m3, E+21 /cm3, /eV.cm3, E+21/cm3, cm-2, hole/Cu, /cm3, E+18/cm3, /CuO2, cm(-3), n/f.u, n/m^3, cm3C-1",Double,Electronic,0.1% SI,"What is the SI unit for carrier density at 300 K? Equivalent units are: E+19 /cm3, n/cm3, E+21/cc, E+22 /cm3, E+20 /cm3, E+19/cc, E+22/cm3, n/m3, E+21 /cm3, /eV.cm3, E+21/cm3, cm-2, hole/Cu, /cm3, E+18/cm3, /CuO2, cm(-3), n/f.u, n/m^3, cm3C-1","The SI unit for carrier density is ""per cubic meter"" or ""m^-3"", which corresponds to ""n/m³"" or ""n/m^3"" in your list of equivalent units.

Carrier density measures the number of charge carriers (electrons or holes) per unit volume, and since the meter is the SI unit for length, cubic meter is the SI unit for volume, making m^-3 the proper SI unit for this quantity.

Some of the other units in your list are common non-SI units used in various contexts:
- /cm³ (per cubic centimeter)
- E+19/cm³ (meaning 10^19 per cubic centimeter)
- cm^-3 (equivalent to /cm³)

But only n/m³ represents the proper SI unit.",m^-3,carrier density at 300K
rawmat,7910,raw materials,#N/A,String,Chemical,pymatgen,#N/A,,,raw materials
shape,15923,shape,#N/A,Integer,Structural,exact_match,#N/A,,,"*sample form (1: single phase(bulk),2: multi phase (bulk),3: single crystal(bulk) ,4:film,5:film(single))"
hc2zero,1756,Hc2 at 0 K for poly crystal,"Oe, kG, kOe, T, E+3 A/m, mT, KOe, KG, micro-T, gauss",Float,Electronic,0.1% SI,"What is the SI unit for Hc2 at 0 K for poly crystal? Equivalent units are: Oe, kG, kOe, T, E+3 A/m, mT, KOe, KG, micro-T, gauss",Loading...,T,Hc2 at 0 K for poly crystal
dhc2dt,1164,-slope in Hc2 vs T at Tc for poly crystal,"Oe/K, G/K, kOe/K, T/K, mT/K, kG/K, kG/T, kG, K/kOe",Float,Electronic,0.1% SI,"What is the SI unit for -slope in Hc2 vs T at Tc for poly crystal? Equivalent units are: Oe/K, G/K, kOe/K, T/K, mT/K, kG/K, kG/T, kG, K/kOe","# SI Unit for -dHc2/dT at Tc for Polycrystal

The SI unit for the negative slope of the upper critical field (Hc2) with respect to temperature (T) at the critical temperature (Tc) for a polycrystalline superconductor would be:

**Tesla per kelvin (T/K)**

## Explanation:
- In the SI system, magnetic field strength is measured in tesla (T)
- Temperature is measured in kelvin (K)
- Therefore, the slope of Hc2 vs T has units of T/K

## Converting from Other Units:
From your list of equivalent units:
- 1 T/K = 10,000 G/K = 10 kG/K
- 1 T/K = 10,000 Oe/K = 10 kOe/K
- 1 T/K = 1,000 mT/K

The units ""kG/T"", ""kG"", and ""K/kOe"" are not directly equivalent to -dHc2/dT:
- kG/T is a dimensionless ratio
- kG is a unit of magnetic field alone, not a slope
- K/kOe is the inverse of the slope (dT/dHc2) rather than dHc2/dT",T/K,
curiet,1199,Curie temperature,K,Float,Electronic,0.1% SI,What is the SI unit for Curie temperature? Equivalent units are: K,"The SI unit for Curie temperature is kelvin (K).

The Curie temperature (also called the Curie point) is the temperature above which a ferromagnetic material loses its permanent magnetic properties and becomes paramagnetic. Since it is a temperature, it is measured in the SI base unit for temperature, which is kelvin (K).

While you may sometimes see Curie temperature expressed in degrees Celsius (°C), the proper SI unit is kelvin.",K,Curie temperature
neelt,1490,Neel temperature,K,Float,Electronic,0.1% SI,What is the SI unit for Neel temperature? Equivalent units are: K,Loading...,K,Neel temperature
latc,11745,lattice constant c,"A, nm",Float,Structural,0.1% SI,"What is the SI unit for lattice constant c? Equivalent units are: A, nm","The SI unit for the lattice constant c is the meter (m).

However, in crystallography, the lattice constant is typically reported in:
- Ångström (Å), which equals 10^-10 m
- Nanometer (nm), which equals 10^-9 m

The relationship between these units is:
1 Å = 0.1 nm = 10^-10 m

Both Å and nm are commonly used in crystallography literature due to their convenient size for expressing atomic-scale dimensions, but the meter remains the fundamental SI unit.",m,lattice constant c
gapene,996,"normarized energy gap at 0 K , 2delta(0)/kTc","meV, kTc, K, cm(-1), cm-1, MeV, MEV, k<B>T",Float,Electronic,0.1% SI,"What is the SI unit for normarized energy gap at 0 K , 2delta(0)/kTc? Equivalent units are: meV, kTc, K, cm(-1), cm-1, MeV, MEV, k<B>T",Loading...,,"normarized energy gap at 0 K , 2delta(0)/kTc"
dtcdp,1038,slope at P = 0 in Tc vs P plot,"K/GPa, K/kbar, K/KBAR, K/Gpa, T/GPa, K/GP, K/kBar, k/kbar, K/Kbar, mK/MPa, K/GPA, GPa",Float,,0.1% SI,"What is the SI unit for slope at P = 0 in Tc vs P plot? Equivalent units are: K/GPa, K/kbar, K/KBAR, K/Gpa, T/GPa, K/GP, K/kBar, k/kbar, K/Kbar, mK/MPa, K/GPA, GPa",Loading...,K/Pa,slope at P=0 in Tc vs P plot
phc2t,47,Hc2 at given temperature for single crystal H//ab-plane,"kOe, T, Oe",Float,Electronic,0.1% SI,"What is the SI unit for Hc2 at given temperature for single crystal H//ab-plane? Equivalent units are: kOe, T, Oe",Loading...,T,Hc2 at given temperature for single crystal H//ab-plane
nhc2t,42,Hc2 at given temperature for single crystal H//c-axis,"kOe, T, Oe",Float,Electronic,0.1% SI,"What is the SI unit for Hc2 at given temperature for single crystal H//c-axis? Equivalent units are: kOe, T, Oe",Loading...,T,Hc2 at given temperature for single crystal H//c-axis
spaceg,3667,space group,#N/A,String,Structural,space_group,#N/A,,,space group
latb,3512,lattice constant b,"A, nm",Float,Structural,0.1% SI,"What is the SI unit for lattice constant b? Equivalent units are: A, nm","The SI unit for lattice constant b is the meter (m).

However, in crystallography and materials science, it's much more practical to use smaller units due to the atomic-scale dimensions involved. The equivalent units you mentioned are commonly used:

1. Ångström (Å): 1 Å = 10^-10 m
2. Nanometer (nm): 1 nm = 10^-9 m = 10 Å

Lattice constants are typically reported in either Ångströms or nanometers in scientific literature, with Ångströms being historically more common in crystallography and nanometers being more aligned with the SI system of units.",m,lattice constant b
tp300,1120,thermopower at 300 K,"uV/K, micro.V/K, mv/K, mic.V/K, mV/K, microV/K, uV/K-1, V/K, microV/P",Float,Electronic,0.1% SI,"What is the SI unit for thermopower at 300 K? Equivalent units are: uV/K, micro.V/K, mv/K, mic.V/K, mV/K, microV/K, uV/K-1, V/K, microV/P",Loading...,V/K,thermopower at 300K
gap,488,"energy gap at 0 K , delta(0)","meV, kTc, K, cm(-1), cm-1, mV, micro-eV, MeV, MEV, k<B>T",Float,Electronic,0.1% SI,"What is the SI unit for energy gap at 0 K , delta(0)? Equivalent units are: meV, kTc, K, cm(-1), cm-1, mV, micro-eV, MeV, MEV, k<B>T",Loading...,J,"energy gap at 0 K , delta(0)"
