db_label,count,property_name,unique property_unit,data_type,category,rubric,SI,description,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18
name,31879,common formula of materials,#N/A,String,Material,pymatgen,,common formula of materials,,,,,,,,,,,,,,,,,,
tc,26321,Tc (of this sample) recommended,"K, k",Float,Superconductivity,0.1% SI,K,Tc (of this sample) recommended,,,,,,,,,,,,,,,,,,
str3,24685,common name of structure,#N/A,String,Structure,categorical,K,*common name of structure,,,,,,,,,,,,,,,,,,
t2,17115,transition temperature (mid point),K,Float,Superconductivity,exact_match,,transition temperature (mid point),,,,,,,,,,,,,,,,,,
shape,15923,shape,#N/A,Integer,Material,exact_match,,"*sample form (1: single phase(bulk),2: multi phase (bulk),3: single crystal(bulk) ,4:film,5:film(single))",,,,,,,,,,,,,,,,,,
lata,13102,lattice constant a,"A, nm",Float,Structure,0.1% SI,m,lattice constant a,,,,,,,,,,,,,,,,,,
latc,11745,lattice constant c,"A, nm",Float,Structure,0.1% SI,m,lattice constant c,,,,,,,,,,,,,,,,,,
rawmat,7910,raw materials,#N/A,String,Preparation,pymatgen,m^3/C,raw materials,,,,,,,,,,,,,,,,,,
method,7437,*preparation method,#N/A,Integer,Preparation,0.1% SI,T,*preparation method (see the end of this table),,,,,,,,,,,,,,,,,,
str1,6781,"*crystal structure, symmetry",#N/A,Integer,Structure,0.1% SI,T/K,"*crystal structure, symmetry ( 1=cubic,2=tetragonal,3=orthorhombic,4=monoclinic,5=triclinic,6=trigonal,7=hexagonal)",,,,,,,,,,,,,,,,,,
tcsus,5608,Tc from susceptibility measurement,K,Float,Superconductivity,0.1% SI,A.m^2/mol,Tc from susceptibility measurement,,,,,,,,,,,,,,,,,,
tcn,4637,lowest temperature for measurement (not superconducting),K,Float,Superconductivity,0.1% SI,K,lowest temperature for measurement (not superconducting),,,,,,,,,,,,,,,,,,
t3,4606,transition temperature (R = 100%),K,Float,Superconductivity,0.1% SI,K/Pa,transition temperature (R=100%),,,,,,,,,,,,,,,,,,
t1,4051,transition temperature (R = 0),"K, k",Float,Superconductivity,0.1% SI,K,transition temperature (R=0),,,,,,,,,,,,,,,,,,
spaceg,3667,space group,#N/A,String,Structure,categorical,ohm.m,space group,,,,,,,,,,,,,,,,,,
latb,3512,lattice constant b,"A, nm",Float,Structure,space_group,,lattice constant b,,,,,,,,,,,,,,,,,,
gamma,2492,coefficient of electronic specific heat,"mj/mol.K2, erg/cc.K2, mJ/mol.K2, mJ/gat.K2, J/K2.Mol-C, mJ/gmol.K2, J/mol.K2, mj/f.u.K2, mJ/mol.K2., mj/K2.m-Re, mj/mol. K2, mJ/K2fu, uJ/K2.g, mJ/Ymol.K2, mJ/Mol.K2, erg/cm3.K2, mJ/K2mol, mJ/molK2, mJ/Pr mol, mJ/K2mole, J/K2gat, my/md,K2, mJ/Kmol, mJ/Ni.K2, mJ/m-Co.K2, mJmol-1K-2, mJ/g.K2, mJ/f.u.K2, mj/mole.K2, uJ/g.K2, mj/cm3.K2, MJ/MOLE.K2",Float,Thermal property,0.1% SI,J/mol.K^2,coefficient of electronic specific heat,,,,,,,,,,,,,,,,,,
debyet,1843,Debye temperature,K,Float,Thermal property,0.1% SI,K,Debye temperature,,,,,,,,,,,,,,,,,,
hc2zero,1756,Hc2 at 0 K for poly crystal,"Oe, kG, kOe, T, E+3 A/m, mT, KOe, KG, micro-T, gauss",Float,Superconductivity,0.1% SI,m,Hc2 at 0 K for poly crystal,,,,,,,,,,,,,,,,,,
resrt,1651,resistivity at RT for poly crystal,"mOhm.cm, uOhm.m, m.ohm.cm, ohmcm, uOhm.cm, Ohm.cm, ohm.cm, uOhmcm, mOhm,cm, kOhm.cm, mic.ohm.cm, mic.ohm.m, mohmcm, mOhmcm, m-ohmcm, mOHM, uohmcm, mOrm.cm",Float,Normal state property,0.1% SI,g/cm^3,resistivity at RT for poly crystal,,,,,,,,,,,,,,,,,,
neelt,1490,Neel temperature,K,Float,Magnetic property,0.1% SI,K,Neel temperature,,,,,,,,,,,,,,,,,,
tcwidth,1352,transition width for resistive transition,K,Float,Superconductivity,0.1% SI,T/K,transition width for resistive transition,,,,,,,,,,,,,,,,,,
curiet,1199,Curie temperature,K,Float,Magnetic property,0.1% SI,K,Curie temperature,,,,,,,,,,,,,,,,,,
dhc2dt,1164,-slope in Hc2 vs T at Tc for poly crystal,"Oe/K, G/K, kOe/K, T/K, mT/K, kG/K, kG/T, kG, K/kOe",Float,Superconductivity,#N/A,,,,,,,,,,,,,,,,,,,,
tp300,1120,thermopower at 300 K,"uV/K, micro.V/K, mv/K, mic.V/K, mV/K, microV/K, uV/K-1, V/K, microV/P",Float,Thermal property,0.1% SI,K,thermopower at 300K,,,,,,,,,,,,,,,,,,
dtcdp,1038,slope at P = 0 in Tc vs P plot,"K/GPa, K/kbar, K/KBAR, K/Gpa, T/GPa, K/GP, K/kBar, k/kbar, K/Kbar, mK/MPa, K/GPA, GPa",Float,Superconductivity,0.1% SI,K,slope at P=0 in Tc vs P plot ,,,,,,,,,,,,,,,,,,
vols,1038,volume fraction of Meissner effect(%),#N/A,Float,Superconductivity,0.1% SI,K.m^3/mol,"volume fraction of Meissner effect, unit=%",,,,,,,,,,,,,,,,,,
resn,1026,resistivity at normal-T for poly crystal,"uOhm.cm, mOhm.cm, uOhm.m, m.ohm.cm, mohm.cm, uOhmcm, uOh.cm, microohm, micro-ohm, ohm, nOhm.cm, Ohm.cm, ohm.cm, mohmcm, m-ohmcm, mOHM, ohmcm, mOHMcm",Float,Normal state property,0.1% SI,Pa,resistivity at normal-T for poly crystal,,,,,,,,,,,,,,,,,,
