property_unit,SI,conversion_factor,comments
,#N/A,,
K,K,1,
A,m,1.00E-10,
mj/mol.K2,J/mol.K^2,0.001,
Oe,T,0.0001,1 Oe = 1000/4π A/m ≈ 79.577 A/m; μ₀ = 4π×10⁻⁷ T·m/A; B = μ₀H
E+19 /cm3,m^-3,1.00E+25,
Oe/K,T/K,0.0001,
erg/cc.K2,J/mol.K^2,,conversion_factor = molar_mass / 1e7; material-dependent (erg/cm³ to J/m³ requires molar mass)
n/cm3,m^-3,1.00E+06,
kG,T,0.1,
G/K,T/K,0.0001,
kOe,T,0.1,
K/GPa,K/Pa,1.00E-09,
T,T,1,
E+3 A/m,T,0.001256637,μ₀ × 10³ A/m = 4π×10⁻⁴ T
uV/K,V/K,1.00E-06,
kOe/K,T/K,0.1,
meV,J,1.60E-22,1 meV = 1.60217663×10⁻²² J
E+21/cc,m^-3,1.00E+27,
mJ/mol.K2,J/mol.K^2,0.001,
E+22 /cm3,m^-3,1.00E+28,
E+20 /cm3,m^-3,1.00E+26,
E+19/cc,m^-3,1.00E+25,
E-4 cm3/C,m^3/C,1.00E-10,
E+22/cm3,m^-3,1.00E+28,
T/K,T/K,1,
mj/mol.K,J/mol.K,0.001,
uOhm.cm,ohm.m,1.00E-08,
uB/Ce,A.m^2/mol,,conversion_factor = 9.274009994e-24 / (Ce_per_formula_unit); material-dependent
emu/mol-Yb,emu/mol,1,
emu.K/mol,K.m^3/mol,1.00E-06,1 emu/mol = 10⁻³ A·m²/mol; multiplied by K gives K·m³/mol with factor 10⁻⁶
mOhm.cm,ohm.m,1.00E-05,
m3/C,m^3/C,1,
n/m3,m^-3,1,
uOhm.m,ohm.m,1.00E-06,
myu-B/Eu,A.m^2/mol,,conversion_factor = 9.274009994e-24 / (Eu_per_formula_unit); material-dependent
cm3/C,m^3/C,1.00E-06,
m.ohm.cm,ohm.m,0.01,
nm,m,1.00E-09,
mT,T,0.001,
ohmcm,ohm.m,0.01,
e-3 cm3/C,m^3/C,1.00E-09,
E+21 /cm3,m^-3,1.00E+27,
Ohm.cm,ohm.m,0.01,
cm3/mol,K.m^3/mol,,Likely χ in emu/mol; conversion_factor = 1e-6 if susceptibility
myu-B/mole,A.m^2/mol,,conversion_factor = 9.274009994e-24 / (atoms_per_formula_unit); material-dependent
My-B/Nb,A.m^2/mol,,conversion_factor = 9.274009994e-24 / (Nb_per_formula_unit); material-dependent
emu/mol,emu/mol,1,
M/mol,A.m^2/mol,,μ_B context unclear; likely material-dependent
k0/GPa,1/Pa,1.00E-09,
muB/f.u.,K.m^3/mol,,Likely χ in emu/mol·K⁻¹; conversion depends on formula unit
emu mol-1,A.m^2/mol,0.001,1 emu = 10⁻³ A·m²
micro.V/K,V/K,1.00E-06,
ohm.cm,ohm.m,0.01,
/ND,A.m^2/mol,,μ_B per Nd; conversion_factor = 9.274009994e-24 / (Nd_per_formula_unit); material-dependent
E-8 m3/C,m^3/C,1.00E-08,
mohm.cm,ohm.m,1.00E-05,
micron m,m,1.00E-06,
K/kbar,K/Pa,1.00E-08,
myu-B/f.u,A.m^2/mol,,conversion_factor = 9.274009994e-24 / (atoms_per_formula_unit); material-dependent
myu-B/mol,A.m^2/mol,,conversion_factor = 9.274009994e-24 / (atoms_per_formula_unit); material-dependent
J/MOLE.K,J/mol.K,1,
um,m,1.00E-06,
K/KBAR,K/Pa,1.00E-08,
GPa,Pa,1.00E+09,
emu.K/Ru,emu/mol,,Unclear if this is χT or different; needs context
