id,material_or_system,sample_label,property_name,category,value_string,value_number,units,method,notes,location.page,location.section,location.source_type,location.evidence,conditions.field_orientation,location.figure_or_table,conditions.current_direction,conditions.field,conditions.temperature,conditions.field_range,conditions.temperature_range,paper_pdf_path,validated,validator_name,validation_date,flagged
prop_001,Ru7B3,single crystal,structure prototype,structural,Th7Fe3-type structure,,,powder X-ray diffraction,Hexagonal; noncentrosymmetric.,1,Abstract,text,"The compound crystallizes in a Th7Fe3-type structure (hexagonal, space group: P63mc)",,,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_002,Ru7B3,single crystal,space group,structural,P63mc,,,powder X-ray diffraction,Noncentrosymmetric; lacks inversion symmetry along c-axis.,1,Abstract,text,space group: P63mc,,,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_003,Ru7B3,,upper critical field Hc2(0),superconducting,,17.2,kOe,magnetization in magnetic fields,,1,Abstract,text,upper critical fields of Hc2(0) ≃ 17.2 kOe for H ∥ [001],[001],,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_004,Ru7B3,,upper critical field Hc2(0),superconducting,,15.8,kOe,magnetization in magnetic fields,,1,Abstract,text,and 15.8 kOe for H ∥ [100],[100],,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_005,Ru7B3,,coherence length ξ_GL(0),superconducting,,144.0,Å,,,1,Abstract,text,coherence length ξ(0)_GL ... 144 Å ... for H ∥ [100],[100],,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_006,Ru7B3,,penetration depth λ_GL(0),superconducting,,3110.0,Å,,,1,Abstract,text,penetration depth ... 3110 Å ... for H ∥ [100],[100],,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_007,Ru7B3,,Ginzburg–Landau parameter κ_GL(0),superconducting,,21.6,,,,1,Abstract,text,GL parameter κ(0) ... 21.6 for H ∥ [100],[100],,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_008,Ru7B3,,coherence length ξ_GL(0),superconducting,,138.0,Å,,,1,Abstract,text,coherence length ... 138 Å ... for H ∥ [001],[001],,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_009,Ru7B3,,penetration depth λ_GL(0),superconducting,,3520.0,Å,,,1,Abstract,text,penetration depth ... 3520 Å ... for H ∥ [001],[001],,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_010,Ru7B3,,Ginzburg–Landau parameter κ_GL(0),superconducting,,25.5,,,,1,Abstract,text,GL parameter ... 25.5 for H ∥ [001],[001],,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_011,Ru7B3,,superconducting gap isotropy,classification,isotropic superconducting gap,,,specific heat measurements,,1,Abstract,text,Specific heat measurements reveal that Ru7B3 is a weak-coupling superconductor with an isotropic superconducting gap.,,,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_012,Ru7B3,,superconductivity type,classification,type-II superconductor,,,magnetic field measurements,,1,Abstract,text,Measurements in magnetic fields indicate type-II superconductivity,,,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_013,CePt3Si,,superconductivity classification,classification,heavy-fermion superconductor,,,,,1,1. Introduction,text,"Since the discovery of a new heavy-fermion superconductor, CePt3Si",,,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_014,CePt3Si,,centrosymmetry,structural,noncentrosymmetric,,,,,1,1. Introduction,text,a noncentrosymmetric superconductor has been investigated,,,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_015,noncentrosymmetric heavy-fermion superconductors,,superconductivity classification,classification,unconventional behavior around magnetic quantum critical point,,,,,1,1. Introduction,text,Noncentrosymmetric heavy-fermion superconductors ... show an unconventional behavior around the magnetic quantum critical point,,,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_016,noncentrosymmetric heavy-fermion superconductors,,coexistence phenomena,classification,coexisting superconductivity and magnetic ordering,,,,,1,1. Introduction,text,exhibits coexisting superconductivity and magnetic ordering,,,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_017,"Li2T3B (T = Pd, Pt)",,centrosymmetry,structural,noncentrosymmetric,,,,,1,1. Introduction,text,transition-metal compounds such as Li2T3B ... are better candidates for examining the basic effects originating from a breaking inversion symmetry,,,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_018,Mg10Ir19B16,,centrosymmetry,structural,noncentrosymmetric,,,,,1,1. Introduction,text,Mg10Ir19B16 ... are better candidates for examining the basic effects originating from a breaking inversion symmetry,,,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_019,"T2Ga9 (T = Rh, Ir)",,centrosymmetry,structural,noncentrosymmetric,,,,,1,1. Introduction,text,T2Ga9 (T = Rh and Ir) ... breaking inversion symmetry,,,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_020,noncentrosymmetric superconductors,,spin–orbit coupling type,electronic,asymmetric spin–orbit coupling (ASOC),,,,,1,1. Introduction,text,The asymmetric spin–orbit coupling (ASOC) in noncentrosymmetric compounds leads to a breaking parity conservation,,,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_021,T7B3 (T: transition metal),,space group,structural,P63mc,,,,,1,Manual Correction,text,The space group of T7B3 (P63mc) belongs to the non-centrosymmetric crystal symmetry,,,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_022,Ru7B3,,crystallographic class,structural,C6v,,,,,2,1. Introduction,text,The space group symmetry of Ru7B3 belongs to the cyclic crystallographic class C6v,,,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_023,Ru7B3,,superconducting transition temperature Tc,superconducting,2.58–3.38 K,,,,reported previously for polycrystalline samples,1,Manual Correction,text,Ru7B3 was reported as a superconductor with Tc = 2.58–3.38 K using a polycrystalline sample,,,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_024,Ru7B3,polycrystal,purity of Ru powder,chemical,,99.9,%,,,2,2. Experimental Details,text,fine Ru powder (99.9%),,,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_025,Ru7B3,polycrystal,purity of B powder,chemical,,99.5,%,,,2,2. Experimental Details,text,amorphous B powder (99.5%),,,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_026,Ru7B3,polycrystal,nominal composition ratio,chemical,Ru/B = 2.0,,,,included excess B due to low B vapor pressure,2,2. Experimental Details,text,"nominal Ru/B ratio of 2.0, including an excess B powder",,,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_027,Ru7B3,single crystal,growth atmosphere,experimental_condition,Ar atmosphere,,,,,2,2. Experimental Details,text,Czochralski pulling method using the tetra-arc furnace in Ar atmosphere,,,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_028,Ru7B3,single crystal,crystal growth rate,experimental_condition,,10.0,mm/h,,,2,2. Experimental Details,text,growth rate was set to 10 mm/h,,,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_029,Ru7B3,single crystal,crystallinity determination method,experimental_condition,X-ray Laue method,,,,,2,2. Experimental Details,text,The single-crystalline nature was determined by the X-ray technique Laue method,,,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_030,Ru7B3,,X-ray radiation type,experimental_condition,Cu Kα,,,powder X-ray diffraction,,1,Manual Correction,text,powder X-ray diffraction using a Cu Kα radiation,,,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_031,Ru7B3,,SQUID measurement temperature range,experimental_condition,1.8–4.0 K,,,SQUID magnetometer (Quantum Design MPMSR2),,2,2. Experimental Details,text,magnetic susceptibility... in a temperature range of 1.8 – 4.0 K,,,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_032,Ru7B3,,electrical resistivity measurement temperature range,experimental_condition,2.0–300 K,,,DC four-probe method,,2,2. Experimental Details,text,Electrical resistivity was measured ... in a temperature range of 2.0 – 300 K,,,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_033,Ru7B3,,specific heat measurement temperature range,experimental_condition,0.5–4.0 K,,,PPMS system with 3He refrigerator,,2,2. Experimental Details,text,specific heat measurements... in a temperature range of 0.5 – 4.0 K,,,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
prop_034,Ru7B3,,specific heat measurement field conditions,experimental_condition,zero and various magnetic fields,,,specific heat (PPMS),,2,2. Experimental Details,text,specific heat measurements... under zero and various magnetic fields,,,,,,,,examples/extraction/assets/Paper_DB/Paper_1.pdf,,,,False
