refno,material,property_name,property_value,property_unit,Has material been reported to be superconducting?,What is the highest measured Tc?,What is the lowest temp for measurement at which material was not superconducting?,file
PRB097104503,Ag0.05Bi1.95Se3,tcn,0.0,K,No,,0,
1377,Ag0.5Al0.5Th2,tc,0.78,K,Yes,0.78,,
SSC0390797,Ag0.76Sn1.24Se2,tc,6.72,K,Yes,6.72,,
SSC0180139,Ag0.7Zn0.3,tc,0.0125,K,Yes,0.0125,,
SSC0180139,Ag0.81In0.19,tc,0.0074,K,Yes,0.0074,,
PCS0380355,Ag0.81Sn1.19Se2,tc,6.47,K,Yes,6.47,,
SSC0180139,Ag0.828Ga0.172,tc,0.116,K,Yes,0.116,,
PCS0380355,Ag0.85Sn1.15Se2,tc,6.23,K,Yes,6.23,,
SSC0180139,Ag0.875Ga0.125,tc,0.019,K,Yes,0.019,,
PCS0380355,Ag0.92Sn1.08Se2,tc,5.57,K,Yes,5.57,,
PCS0380355,Ag0.95Sn1.05Se2,tc,5.28,K,Yes,5.28,,
SSC0180139,Ag0.9Ga0.1,tc,0.0065,K,Yes,0.0065,,
PCS0380355,Ag0.9Sn1.1Se1.8S0.2,tc,6.79,K,Yes,6.79,,
JPS0732639,Ag1B2,tc,6.7,K,Yes,6.7,,
PHC2350981,Ag1Ba2Ca2Cu3O9-z,tc,110.0,K,Yes,110,,
PHC2350981,Ag1Ba2Ca3Cu4O11-z,tc,117.0,K,Yes,117,,
PHC2350981,Ag1Ba2Ca4Cu5O13-z,tc,105.0,K,Yes,105,,
PHC2350981,Ag1Ba2Ca5Cu6O15-z,tc,80.0,K,Yes,80,,
606,Ag1Bi2,tc,3.0,K,Yes,3,,
658,Ag1Lu1,tcn,0.33,K,No,,0.33,
RMP0350001,Ag1Mg1,tcn,1.02,K,No,,1.02,
LTP0480503,Ag1Mo6S8,tc,7.7,K,Yes,7.7,,
JPS086054711,Ag1Sn0.7Bi0.3Se2,tc,4.0,K,Yes,4,,
JPS086054711,Ag1Sn0.8Bi0.2Se2,tc,5.1,K,Yes,5.1,,
JPS086054711,Ag1Sn0.9Bi0.1Se2,tc,5.2,K,Yes,5.2,,
PCS0380355,Ag1Sn1Se1.8S0.2,tc,5.79,K,Yes,5.79,,
PCS0380355,Ag1Sn1Se2,tc,4.71,K,Yes,4.71,,
11,Ag1Te1,tcn,1.28,K,No,,1.28,
658,Ag1Y1,tcn,0.33,K,No,,0.33,
11,Ag2Be1,tcn,1.28,K,No,,1.28,
11,Ag2Bi1,tcn,1.28,K,No,,1.28,
11,Ag2O1,tcn,0.128,K,No,,0.128,
PRB095184514,Ag2Pd3S1,tc,2.25,K,Yes,2.25,,
11,Ag2S1,tcn,1.28,K,No,,1.28,
11,Ag2Se1,tcn,1.28,K,No,,1.28,
P072180504,Ag5Pb2O6,tc,0.0524,K,Yes,0.0524,,P072180504
PRL0170917,Ag7B1F4O8,tc,0.15,K,Yes,0.15,,
PRL0170917,Ag7B4F4O8,tc,0.15,K,Yes,0.15,,
1146,Ag7F0.25N0.75O10.25,tc,1.04,K,Yes,1.04,,
PRL0170917,Ag7F1O8,tc,0.3,K,Yes,0.3,,
1146,Ag7F2H1O8,tc,1.5,K,Yes,1.5,,
605,Ag7F4O8B1,tc,0.15,K,Yes,0.15,,
PCS0312673,Ag7H1F2O8,tc,1.5,K,Yes,1.5,,
605,Ag7N0.75O10.25F0.25,tc,0.85,K,Yes,0.85,,
PRL0170917,Ag7N1O11,tc,1.04,K,Yes,1.04,,
605,Ag7O11N1,tc,1.04,K,Yes,1.04,,
1890,Al0.005V0.995,tc,4.82,K,Yes,4.82,,
LES0620183,Al0.01Au0.92In0.07,tc,0.0278,K,Yes,0.0278,,
1890,Al0.01V0.99,tc,4.49,K,Yes,4.49,,
PR06208695,Al0.029Ti0.971,tc,0.65,K,Yes,0.65,,
LES0620183,Al0.02Au0.92Ga0.06,tc,0.158,K,Yes,0.158,,
LES0620183,Al0.02Au0.92In0.06,tc,0.034,K,Yes,0.034,,
1890,Al0.02V0.98,tc,4.05,K,Yes,4.05,,
LES0620183,Al0.03Au0.92In0.05,tc,0.045,K,Yes,0.045,,
1201,Al0.046In0.151Sn0.803,tc,4.38,K,Yes,4.38,,
514,Al0.049Cr0.951,tcn,1.5,K,No,,1.5,
LES0620183,Al0.04Au0.92Ga0.04,tc,0.101,K,Yes,0.101,,
LES0620183,Al0.04Au0.92In0.04,tc,0.0555,K,Yes,0.0555,,
1890,Al0.04V0.96,tc,3.31,K,Yes,3.31,,
PR06208695,Al0.053Ti0.947,tc,0.7,K,Yes,0.7,,
LES0620183,Al0.0563Au0.92In0.0237,tc,0.0609,K,Yes,0.0609,,
LES0620183,Al0.05Au0.92In0.03,tc,0.0672,K,Yes,0.0672,,
SSC0180139,Al0.05Au0.95,tc,0.0138,K,Yes,0.0138,,
LES0620183,Al0.06Au0.92Ga0.02,tc,0.09,K,Yes,0.09,,
LES0620183,Al0.06Au0.92In0.02,tc,0.0619,K,Yes,0.0619,,
1890,Al0.06V0.94,tc,2.83,K,Yes,2.83,,
LES0620183,Al0.07Au0.92In0.01,tc,0.0763,K,Yes,0.0763,,
LES0620183,Al0.08Au0.92,tc,0.088,K,Yes,0.088,,
1890,Al0.08V0.92,tc,2.36,K,Yes,2.36,,
PR06208695,Al0.102Ti0.898,tc,0.73,K,Yes,0.73,,
514,Al0.108V0.892,tc,1.82,K,Yes,1.82,,
1890,Al0.12V0.88,tc,1.73,K,Yes,1.73,,
514,Al0.146Cr0.854,tcn,1.5,K,No,,1.5,
SSC0180139,Al0.14Au0.86,tc,0.385,K,Yes,0.385,,
1201,Al0.152Sn0.848,tc,3.69,K,Yes,3.69,,
514,Al0.188V0.812,tcn,1.5,K,No,,1.5,
PR0190193,Al0.18La0.82,tc,4.65,K,Yes,4.65,,
514,Al0.1Cr0.9,tcn,1.5,K,No,,1.5,
PHC4690340,Al0.1Fe0.9Se0.85,tc,8.5,K,Yes,8.5,,
1890,Al0.1V0.9,tc,1.96,K,Yes,1.96,,
PR0190193,Al0.22La0.78,tc,4.3,K,Yes,4.3,,
APL0470640,Al0.245Nb0.725,tc,18.4,K,Yes,18.4,,
LTP0510179,Al0.24Nb0.76,tc,18.7,K,Yes,18.7,,
514,Al0.25Cr0.75,tcn,1.5,K,No,,1.5,
PHC4690340,Al0.25Fe0.75Se0.85,tc,8.5,K,Yes,8.5,,
PR0190193,Al0.25La0.75,tc,3.98,K,Yes,3.98,,
PSS0770129,Al0.25Nb0.75,tc,18.6,K,Yes,18.6,,
PR0190193,Al0.27La0.73,tc,3.82,K,Yes,3.82,,
514,Al0.2Cr0.8,tcn,1.5,K,No,,1.5,
PR0190193,Al0.2La0.8,tc,4.43,K,Yes,4.43,,
514,Al0.308V0.692,tcn,1.5,K,No,,1.5,
PR0190193,Al0.32La0.68,tc,3.23,K,Yes,3.23,,
PHC3360033,Al0.33Sr2Y1Cu2.67Oz,tcn,20.0,K,No,,20,
514,Al0.3Cr0.7,tcn,1.5,K,No,,1.5,
514,Al0.402V0.598,tcn,1.5,K,No,,1.5,
1377,Al0.5Ge0.5Th2,tc,0.21,K,Yes,0.21,,
SSC1420421,Al0.95Li0.05,tc,1.13,K,Yes,1.13,,
SSC1420421,Al0.97Li0.03,tc,1.05,K,Yes,1.05,,
951,Al0.998Mn0.002,tc,0.262,K,Yes,0.262,,
951,Al0.999Mn0.001,tc,0.596,K,Yes,0.596,,
SSC1420421,Al0.99Li0.01,tc,1.07,K,Yes,1.07,,
SSC1420421,Al0.9Li0.1,tc,1.29,K,Yes,1.29,,
PRL0731412,Al1,tc,1.8,K,Yes,1.8,,
RMP0350001,Al12Mo1,tcn,1.02,K,No,,1.02,
