property_name,count,count of units,examples of property_value/property_unit pairs,data_type,rubric,category,definition,SI
shape,28,0,"3/-, 1/-, 5/-",Integer,categorical,Structural,"*sample form (1: single phase(bulk),2: multi phase (bulk),3: single crystal(bulk) ,4:film,5:film(single))",
common formula of materials,27,0,"Ru7B3/-, (Sr,Ca)14Cu24O41/-, (Sr,Ba)14Cu24O41/-",String,pymatgen,Chemical,common formula of materials,
Tc (of this sample) recommended,23,1,"2.8/K, 3.3/K, 3.7/K",Float,0.1% SI,Electronic,The recommended superconducting critical temperature ($T_c$) specific to the sample.,
common name of structure,22,0,"Th7Fe3/-, LAD/-, T/-",String,categorical,Structural,"The conventional or informal name for a material's crystal structure, as commonly used within the condensed matter physics community, particularly as it relates to superconducting materials.",
lattice constant c,17,1,"4.7/A, 3.906/A, 3.96/A",Float,0.1% SI,Structural,"The length of the unit cell along the c-axis, critical to the crystal structure in condensed matter physics and superconductivity.",
lattice constant a,17,1,"7.441/A, 11.25/A, 11.52/A",Float,0.1% SI,Structural,The crystallographic parameter 'a' defining the length of the unit cell along the 'a' direction.,
raw materials,15,0,"La,Ru,P/-, PbBi2Te4/-, Ir(4N),Sn(5N)/-",String,pymatgen,Chemical,The foundational substances used for the synthesis of a specific superconducting material.,
lattice constant b,14,1,"12.43/A, 13.8/A, 13.4/A",Float,0.1% SI,Structural,"The length of the unit cell edge along the 'b' direction, which defines the crystal structure geometry in condensed matter materials like superconductors.",
Tc from susceptibility measurement,13,1,"2.8/K, 3.3/K, 0.9/K",Float,0.1% SI,Electronic,"The critical temperature (Tc) of a superconductor as determined by the abrupt change in magnetic susceptibility, which signifies the onset of perfect diamagnetism and the superconducting state.",
*preparation method,11,0,"9/-, 16/-, 18/-",Integer,categorical,Chemical,The specific technique or process used to create or synthesize the material sample.,
transition temperature (R = 100%),9,0,"90.4/-, 90.3/-, 90/-",Float,0.1% SI,Electronic,"The critical temperature ($T_c$) of a superconductor, measured at the onset of superconductivity (where electrical resistivity R = 100%).",
thermal conductivity at 300 K for heat flow//ab-plane,7,1,"3.88/W/m.K, 4.32/W/m.K, 5.79/W/m.K",Float,0.1% SI,Electronic,thermal conductivity at 300K for heat flow//ab-plane,
thermal conductivity at 300 K for heat flow//c-axis,7,1,"2.37/W/m.K, 2.27/W/m.K, 2.17/W/m.K",Float,0.1% SI,Electronic,thermal conductivity at 300K for heat flow//c-axis,
space group,7,0,"P6<3>mc/-, I4/mmm/-, R-3m/-",String,categorical,Structural,space group,
resistivity at normal-T for poly crystal,7,2,"3/uOhm.cm, 901/uOhm.cm, 392/uOhm.cm",Float,0.1% SI,Electronic,resistivity at normal-T for poly crystal,
Hc2 at 0 K for poly crystal,7,2,"5.8/T, 8/mT, 8.1/mT",Float,0.1% SI,Electronic,Hc2 at 0 K for poly crystal,
method of Hc2 derivation,7,3,"SP-heat/T, RES, R=0.5Rn, WHH/Oe, resistivity/T",String,categorical,Methods,method of Hc2 derivation,
temperature independent term in susceptibility,6,1,"-0.000051/emu/mol, -0.000133/emu/mol, 0.000113/emu/mol",Double,0.1% SI,Electronic,"The static magnetic susceptibility, $\chi(0)$, representing the term in susceptibility that is independent of temperature, often associated with Temperature Independent Paramagnetism (TIP).",
resistivity at RT for single crystal for J//c-axis,6,2,"0.097/mOhm.cm, 1350/mohmcm, 650/mohmcm",Float,0.1% SI,Electronic,Electrical resistivity measured in a single crystal at room temperature (RT) with the current density (J) directed parallel to the crystallographic c-axis.,
method of PENET derivation,5,1,"G-L theory, Hc(0)/A, from Hc1(T)/A, Determined from Microwave Data./A",String,categorical,Methods,The technique used to measure the penetration depth of a superconductor.,
measuring temperature,5,0,"1.8/-, 0.5/-, 0.15/-",Float,0.1% SI,Environmental,measuring temperature,
method of COHERE derivation,5,1,"from Hc2/A, from Hc2(0)/A, Determined from Microwave Data./A",String,categorical,Methods,The technique used to determine the superconducting coherence length.,
volume fraction of Meissner effect(%),5,0,"80/-, 12.1/-, 15.5/-",Float,0.1% SI,Electronic,"volume fraction of Meissner effect, unit=%",
temperature dependence of LATC,5,1,"-0.0075/A/GPa, -0.00741/A/GPa, -0.01/A/GPa",Float,0.1% SI,Electronic,The change in the lattice constant c of a crystal structure with respect to temperature.,
temperature dependence of LATB,5,1,"-0.087/A/GPa, -0.125/A/GPa, -0.1/A/GPa",Float,0.1% SI,Electronic,The change in the lattice constant along the 'b' direction of a crystal structure with respect to temperature.,
resistivity at 77 K for single crystal for J//c-axis,5,1,"1700/mohmcm, 1280/mohmcm, 1350/mohmcm",Float,0.1% SI,Electronic,"Electrical resistivity of a single crystal at 77 K (liquid nitrogen temperature), measured with the current density (J) parallel to the crystallographic c-axis.",
temperature dependence of LATA,5,1,"-0.013/A/GPa, -0.0113/A/GPa, -0.01/A/GPa",Float,0.1% SI,Electronic,The variation of the lattice constant 'a' of a crystal structure with changes in temperature.,
resistivity at RT for single crystal for J//ab-plane,4,3,"0.055/mOhm.cm, 110/uOhm.cm, 2/mohmcm",Float,0.1% SI,Electronic,"The electrical resistivity of a single-crystal material at room temperature (RT), measured with the current density (J) parallel to the crystal's ab-plane.",
"*crystal structure, symmetry",4,0,"6/-, 1/-, 3/-",Integer,categorical,Structural,"*crystal structure, symmetry ( 1=cubic,2=tetragonal,3=orthorhombic,4=monoclinic,5=triclinic,6=trigonal,7=hexagonal)",
method of dHc2/dT derivation,4,2,"SP-heat/T/K, RES,SP/mT/K, direct observation./T/K",String,categorical,Methods,"method of dHc2/dT derivation (1.magnetization, 2.ac susceptibility, 3.resistivity, 4.heat capacity, 5.tunneling, 6.infrared spectroscopy, 7.thermal conductivity, 8.Raman spectroscopy , 9.nuclear magnetic resonance, 10.surface impedance, 11.neutron diffraction, 12.photoemission spectroscopy, 13.microwave transmission, 14.Others)",
Neel temperature,4,0,"242/-, 306/-, 35/-",Float,0.1% SI,Electronic,Neel temperature,
method of Hc1 derivation,4,2,"linear M-H curve/Oe, M-H curve, linear approx./Oe, M-H curve/mT",String,categorical,Methods,"method of Hc1 derivation (1.magnetization, 2.ac susceptibility, 3.resistivity, 4.heat capacity, 5.tunneling, 6.infrared spectroscopy, 7.thermal conductivity, 8.Raman spectroscopy , 9.nuclear magnetic resonance, 10.surface impedance, 11.neutron diffraction, 12.photoemission spectroscopy, 13.microwave transmission, 14.Others)",
resistivity at normal-T for single crystal for J//c-axis,3,1,"1120/mohmcm, 100/mohmcm, 750/mohmcm",Float,0.1% SI,Electronic,"Electrical resistivity of a single crystal above its critical temperature, measured with current density parallel to the c-axis.",
lowest temperature for measurement (not superconducting),3,1,"1.5/K, 0/K",Float,0.1% SI,Environmental,The minimum measured temperature for samples that do not exhibit superconductivity.,
"normarized energy gap at 0 K , 2delta(0)/kTc",3,2,"3.3/meV, 3.55/-, 3.68/k<B>T",Float,0.1% SI,Electronic,"normarized energy gap at 0 K , 2delta(0)/kTc",
resistivity at normal-T for single crystal for J//ab-plane,3,3,"8.9/uOhm.cm, 0.03/m.ohm.cm, 4.85/ohm",Float,0.1% SI,Electronic,"Electrical resistivity of a single crystal superconductor measured in the normal state (above $T_c$), with the current density (J) directed parallel to the crystallographic $ab$-plane.",
method for derivation of Debye temperature,3,0,"SP-heat/-, SP/-",String,categorical,Methods,method for derivation of Debye temperature,
method of measuring energy gap,3,2,"14/meV, 14/-, 14/k<B>T",Integer,categorical,Methods,"Experimental techniques used to determine the gap energy in superconductors, including tunneling, infrared spectroscopy, thermal conductivity, Raman spectroscopy, AC susceptibility, nuclear magnetic resonance, surface impedance, neutron diffraction, ultraviolet photoemission spectroscopy, and microwave transmission.",
resistivity at RT for poly crystal,3,2,"80/uOhm.cm, 0.026/ohm.cm, 279.2/uOhm.cm",Float,0.1% SI,Electronic,resistivity at RT for poly crystal,
isotope element,3,0,O/-,String,categorical,Chemical,The element in a superconductor that is isotopically varied to measure the critical temperature change due to the isotope effect.,
penetration depth at 0 K for poly crystal,3,1,"800/A, 1700/A, 1150/A",Float,0.1% SI,Electronic,penetration depth at 0 K for poly crystal,
penetration depth at 0 K for single crystal for H //ab-plane,3,1,"3520/A, 2630/A, 1170/A",Float,0.1% SI,Electronic,penetration depth at 0 K for single crystal for H //ab plane,
,3,2,"9.83/mT/K, 2.5/T/K, 2.4/T/K",Missing,,,#N/A,
Hc2 at 0 K for single crystal for H //ab-plane,3,2,"1.72/T, 1140/Oe, 21.7/T",Float,0.1% SI,Electronic,Hc2 at 0 K for single crystal for H //ab plane,
coherence length at 0 K for poly crystal,3,1,"540/A, 20/A, 1930/A",Float,0.1% SI,Electronic,coherence length at 0 K for poly crystal,
